Caffeine Intake,Stress Level,Sleep Duration,Light Exposure
100.0,<4,>8,6-8
100.0,<4,>8,6-8
100.0,<4,>8,6-8
100.0,<4,>8,6-8
100.0,<4,>8,6-8
100.0,<4,>8,6-8
100.0,<4,>8,6-8
100.0,<4,>8,6-8
100.0,<4,>8,6-8
100.0,<4,>8,6-8
100.0,<4,>8,9-11
100.0,<4,>8,9-11
100.0,<4,>8,9-11
100.0,<4,>8,9-11
100.0,<4,>8,9-11
100.0,<4,>8,9-11
100.0,<4,6-8,<6
100.0,<4,6-8,<6
100.0,<4,6-8,<6
100.0,<4,6-8,<6
100.0,<4,6-8,<6
100.0,<4,6-8,<6
100.0,<4,6-8,<6
100.0,<4,6-8,>11
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,6-8
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,<4,6-8,9-11
100.0,>6,<6,6-8
100.0,>6,<6,9-11
100.0,>6,>8,<6
100.0,>6,>8,<6
100.0,>6,>8,<6
100.0,>6,>8,>11
100.0,>6,>8,>11
100.0,>6,>8,6-8
100.0,>6,>8,6-8
100.0,>6,>8,6-8
100.0,>6,>8,6-8
100.0,>6,>8,6-8
100.0,>6,>8,6-8
100.0,>6,>8,6-8
100.0,>6,>8,6-8
100.0,>6,>8,6-8
100.0,>6,>8,6-8
100.0,>6,>8,9-11
100.0,>6,>8,9-11
100.0,>6,>8,9-11
100.0,>6,>8,9-11
100.0,>6,6-8,<6
100.0,>6,6-8,<6
100.0,>6,6-8,<6
100.0,>6,6-8,<6
100.0,>6,6-8,<6
100.0,>6,6-8,>11
100.0,>6,6-8,>11
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,6-8
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,>6,6-8,9-11
100.0,4-6,<6,6-8
100.0,4-6,<6,6-8
100.0,4-6,<6,6-8
100.0,4-6,<6,6-8
100.0,4-6,<6,6-8
100.0,4-6,<6,6-8
100.0,4-6,<6,9-11
100.0,4-6,<6,9-11
100.0,4-6,<6,9-11
100.0,4-6,<6,9-11
100.0,4-6,<6,9-11
100.0,4-6,<6,9-11
100.0,4-6,<6,9-11
100.0,4-6,>8,<6
100.0,4-6,>8,<6
100.0,4-6,>8,<6
100.0,4-6,>8,<6
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,6-8
100.0,4-6,>8,9-11
100.0,4-6,>8,9-11
100.0,4-6,>8,9-11
100.0,4-6,>8,9-11
100.0,4-6,>8,9-11
100.0,4-6,>8,9-11
100.0,4-6,>8,9-11
100.0,4-6,6-8,<6
100.0,4-6,6-8,<6
100.0,4-6,6-8,<6
100.0,4-6,6-8,<6
100.0,4-6,6-8,<6
100.0,4-6,6-8,<6
100.0,4-6,6-8,<6
100.0,4-6,6-8,<6
100.0,4-6,6-8,<6
100.0,4-6,6-8,>11
100.0,4-6,6-8,>11
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,6-8
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
100.0,4-6,6-8,9-11
200.0,<4,<6,<6
200.0,<4,<6,<6
200.0,<4,<6,6-8
200.0,<4,<6,6-8
200.0,<4,<6,6-8
200.0,<4,<6,6-8
200.0,<4,<6,6-8
200.0,<4,<6,6-8
200.0,<4,<6,9-11
200.0,<4,<6,9-11
200.0,<4,<6,9-11
200.0,<4,>8,<6
200.0,<4,>8,>11
200.0,<4,>8,6-8
200.0,<4,>8,6-8
200.0,<4,>8,6-8
200.0,<4,>8,6-8
200.0,<4,>8,6-8
200.0,<4,>8,6-8
200.0,<4,>8,6-8
200.0,<4,>8,6-8
200.0,<4,>8,6-8
200.0,<4,>8,6-8
200.0,<4,>8,9-11
200.0,<4,>8,9-11
200.0,<4,>8,9-11
200.0,<4,>8,9-11
200.0,<4,>8,9-11
200.0,<4,>8,9-11
200.0,<4,>8,9-11
200.0,<4,>8,9-11
200.0,<4,>8,9-11
200.0,<4,6-8,<6
200.0,<4,6-8,<6
200.0,<4,6-8,<6
200.0,<4,6-8,<6
200.0,<4,6-8,>11
200.0,<4,6-8,>11
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,6-8
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,<4,6-8,9-11
200.0,>6,<6,<6
200.0,>6,<6,>11
200.0,>6,<6,6-8
200.0,>6,<6,6-8
200.0,>6,<6,6-8
200.0,>6,<6,6-8
200.0,>6,<6,6-8
200.0,>6,<6,6-8
200.0,>6,<6,6-8
200.0,>6,<6,6-8
200.0,>6,<6,6-8
200.0,>6,<6,9-11
200.0,>6,<6,9-11
200.0,>6,<6,9-11
200.0,>6,<6,9-11
200.0,>6,<6,9-11
200.0,>6,<6,9-11
200.0,>6,>8,<6
200.0,>6,>8,<6
200.0,>6,>8,>11
200.0,>6,>8,6-8
200.0,>6,>8,6-8
200.0,>6,>8,6-8
200.0,>6,>8,6-8
200.0,>6,>8,6-8
200.0,>6,>8,6-8
200.0,>6,>8,6-8
200.0,>6,>8,6-8
200.0,>6,>8,9-11
200.0,>6,>8,9-11
200.0,>6,>8,9-11
200.0,>6,>8,9-11
200.0,>6,>8,9-11
200.0,>6,>8,9-11
200.0,>6,>8,9-11
200.0,>6,6-8,<6
200.0,>6,6-8,<6
200.0,>6,6-8,<6
200.0,>6,6-8,<6
200.0,>6,6-8,<6
200.0,>6,6-8,<6
200.0,>6,6-8,<6
200.0,>6,6-8,<6
200.0,>6,6-8,<6
200.0,>6,6-8,<6
200.0,>6,6-8,>11
200.0,>6,6-8,>11
200.0,>6,6-8,>11
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,6-8
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,>6,6-8,9-11
200.0,4-6,<6,<6
200.0,4-6,<6,>11
200.0,4-6,<6,6-8
200.0,4-6,<6,6-8
200.0,4-6,<6,6-8
200.0,4-6,<6,6-8
200.0,4-6,<6,6-8
200.0,4-6,<6,6-8
200.0,4-6,<6,9-11
200.0,4-6,<6,9-11
200.0,4-6,<6,9-11
200.0,4-6,<6,9-11
200.0,4-6,<6,9-11
200.0,4-6,<6,9-11
200.0,4-6,<6,9-11
200.0,4-6,<6,9-11
200.0,4-6,<6,9-11
200.0,4-6,>8,<6
200.0,4-6,>8,<6
200.0,4-6,>8,<6
200.0,4-6,>8,<6
200.0,4-6,>8,<6
200.0,4-6,>8,>11
200.0,4-6,>8,>11
200.0,4-6,>8,>11
200.0,4-6,>8,>11
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,6-8
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,>8,9-11
200.0,4-6,6-8,<6
200.0,4-6,6-8,<6
200.0,4-6,6-8,<6
200.0,4-6,6-8,<6
200.0,4-6,6-8,<6
200.0,4-6,6-8,<6
200.0,4-6,6-8,<6
200.0,4-6,6-8,<6
200.0,4-6,6-8,<6
200.0,4-6,6-8,<6
200.0,4-6,6-8,<6
200.0,4-6,6-8,<6
200.0,4-6,6-8,>11
200.0,4-6,6-8,>11
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,6-8
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
200.0,4-6,6-8,9-11
300.0,<4,<6,<6
300.0,<4,<6,6-8
300.0,<4,<6,6-8
300.0,<4,<6,6-8
300.0,<4,>8,<6
300.0,<4,>8,6-8
300.0,<4,>8,6-8
300.0,<4,>8,6-8
300.0,<4,>8,6-8
300.0,<4,>8,6-8
300.0,<4,>8,6-8
300.0,<4,>8,6-8
300.0,<4,>8,6-8
300.0,<4,>8,6-8
300.0,<4,>8,9-11
300.0,<4,>8,9-11
300.0,<4,>8,9-11
300.0,<4,>8,9-11
300.0,<4,6-8,<6
300.0,<4,6-8,<6
300.0,<4,6-8,<6
300.0,<4,6-8,>11
300.0,<4,6-8,>11
300.0,<4,6-8,6-8
300.0,<4,6-8,6-8
300.0,<4,6-8,6-8
300.0,<4,6-8,6-8
300.0,<4,6-8,6-8
300.0,<4,6-8,6-8
300.0,<4,6-8,6-8
300.0,<4,6-8,6-8
300.0,<4,6-8,6-8
300.0,<4,6-8,6-8
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,<4,6-8,9-11
300.0,>6,<6,6-8
300.0,>6,<6,6-8
300.0,>6,<6,9-11
300.0,>6,<6,9-11
300.0,>6,<6,9-11
300.0,>6,>8,<6
300.0,>6,>8,<6
300.0,>6,>8,<6
300.0,>6,>8,>11
300.0,>6,>8,>11
300.0,>6,>8,6-8
300.0,>6,>8,6-8
300.0,>6,>8,6-8
300.0,>6,>8,6-8
300.0,>6,>8,6-8
300.0,>6,>8,6-8
300.0,>6,>8,6-8
300.0,>6,>8,6-8
300.0,>6,>8,9-11
300.0,>6,>8,9-11
300.0,>6,>8,9-11
300.0,>6,>8,9-11
300.0,>6,6-8,<6
300.0,>6,6-8,<6
300.0,>6,6-8,>11
300.0,>6,6-8,>11
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,6-8
300.0,>6,6-8,9-11
300.0,>6,6-8,9-11
300.0,>6,6-8,9-11
300.0,>6,6-8,9-11
300.0,>6,6-8,9-11
300.0,>6,6-8,9-11
300.0,>6,6-8,9-11
300.0,>6,6-8,9-11
300.0,>6,6-8,9-11
300.0,>6,6-8,9-11
300.0,4-6,<6,<6
300.0,4-6,<6,>11
300.0,4-6,<6,>11
300.0,4-6,<6,6-8
300.0,4-6,<6,6-8
300.0,4-6,<6,6-8
300.0,4-6,<6,6-8
300.0,4-6,<6,6-8
300.0,4-6,<6,9-11
300.0,4-6,<6,9-11
300.0,4-6,<6,9-11
300.0,4-6,<6,9-11
300.0,4-6,<6,9-11
300.0,4-6,<6,9-11
300.0,4-6,>8,<6
300.0,4-6,>8,<6
300.0,4-6,>8,<6
300.0,4-6,>8,>11
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,6-8
300.0,4-6,>8,9-11
300.0,4-6,>8,9-11
300.0,4-6,>8,9-11
300.0,4-6,>8,9-11
300.0,4-6,>8,9-11
300.0,4-6,>8,9-11
300.0,4-6,6-8,<6
300.0,4-6,6-8,<6
300.0,4-6,6-8,<6
300.0,4-6,6-8,<6
300.0,4-6,6-8,<6
300.0,4-6,6-8,<6
300.0,4-6,6-8,<6
300.0,4-6,6-8,<6
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,6-8
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
300.0,4-6,6-8,9-11
